"","Perc","Type","Ventilated","Disease","Severity"
"1",1.8,"Consumable","Non-ventilated","Dengue","Non-ventilated Dengue"
"2",32.6,"ICU bed","Non-ventilated","Dengue","Non-ventilated Dengue"
"3",43.8,"Laboratory","Non-ventilated","Dengue","Non-ventilated Dengue"
"4",18.5,"Medication","Non-ventilated","Dengue","Non-ventilated Dengue"
"5",0,"Nutrition","Non-ventilated","Dengue","Non-ventilated Dengue"
"6",3.3,"Other","Non-ventilated","Dengue","Non-ventilated Dengue"
"7",0,"Procedure","Non-ventilated","Dengue","Non-ventilated Dengue"
"8",3.5,"Consumable","Non-ventilated","Sepsis","Non-ventilated Sepsis"
"9",12.9,"ICU bed","Non-ventilated","Sepsis","Non-ventilated Sepsis"
"10",18,"Laboratory","Non-ventilated","Sepsis","Non-ventilated Sepsis"
"11",38.6,"Medication","Non-ventilated","Sepsis","Non-ventilated Sepsis"
"12",3.4,"Nutrition","Non-ventilated","Sepsis","Non-ventilated Sepsis"
"13",0.5,"Other","Non-ventilated","Sepsis","Non-ventilated Sepsis"
"14",23.1,"Procedure","Non-ventilated","Sepsis","Non-ventilated Sepsis"
"15",3.4,"Consumable","Non-ventilated","Tetanus","Non-ventilated Tetanus"
"16",39.6,"ICU bed","Non-ventilated","Tetanus","Non-ventilated Tetanus"
"17",8.2,"Laboratory","Non-ventilated","Tetanus","Non-ventilated Tetanus"
"18",38.8,"Medication","Non-ventilated","Tetanus","Non-ventilated Tetanus"
"19",5.3,"Nutrition","Non-ventilated","Tetanus","Non-ventilated Tetanus"
"20",0.9,"Other","Non-ventilated","Tetanus","Non-ventilated Tetanus"
"21",3.8,"Procedure","Non-ventilated","Tetanus","Non-ventilated Tetanus"
"22",8.7,"Consumable","Ventilated","Dengue","Ventilated Dengue"
"23",5.3,"ICU bed","Ventilated","Dengue","Ventilated Dengue"
"24",13,"Laboratory","Ventilated","Dengue","Ventilated Dengue"
"25",46.7,"Medication","Ventilated","Dengue","Ventilated Dengue"
"26",0.7,"Nutrition","Ventilated","Dengue","Ventilated Dengue"
"27",0.1,"Other","Ventilated","Dengue","Ventilated Dengue"
"28",25.5,"Procedure","Ventilated","Dengue","Ventilated Dengue"
"29",8.4,"Consumable","Ventilated","Sepsis","Ventilated Sepsis"
"30",8.9,"ICU bed","Ventilated","Sepsis","Ventilated Sepsis"
"31",16.7,"Laboratory","Ventilated","Sepsis","Ventilated Sepsis"
"32",41.6,"Medication","Ventilated","Sepsis","Ventilated Sepsis"
"33",2.3,"Nutrition","Ventilated","Sepsis","Ventilated Sepsis"
"34",0.4,"Other","Ventilated","Sepsis","Ventilated Sepsis"
"35",21.7,"Procedure","Ventilated","Sepsis","Ventilated Sepsis"
"36",3.2,"Consumable","Ventilated","Tetanus","Ventilated Tetanus"
"37",21.9,"ICU bed","Ventilated","Tetanus","Ventilated Tetanus"
"38",10.1,"Laboratory","Ventilated","Tetanus","Ventilated Tetanus"
"39",31.6,"Medication","Ventilated","Tetanus","Ventilated Tetanus"
"40",7.6,"Nutrition","Ventilated","Tetanus","Ventilated Tetanus"
"41",0.9,"Other","Ventilated","Tetanus","Ventilated Tetanus"
"42",24.7,"Procedure","Ventilated","Tetanus","Ventilated Tetanus"
